id,lat,long,project_type,name,description,location,lga,cwlth_funding,state_funding,other_funding,recovery_type,metadata
1,-35.72851927,137.9429855,Local Economic Recovery Funding,Desalination Plant,"The new desalination plant will improve water security, which has been an ongoing vulnerability for the island.",Penneshaw,Kangaroo Island,9900000,37900000,,Infrastructure,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
2,-23.2535463,150.8021047,Local Economic Recovery Funding,Emu Park West Reservoir,Design and construction of a water supply reservoir for the town of Emu Park. The project will create local jobs during construction.,Emu Park,Livingstone Shire Council,1000000,1000000,500000,Infrastructure,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
3,-17.03790157,145.4962402,Local Economic Recovery Funding,Water Main Construction,"Construction of a new reticulated water supply for Chillagoe, ensuring the continuity of this essential service for residents.",Mareeba,Mareeba Shire Council,845000,845000,725000,Infrastructure,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
4,-26.39823006,153.0932585,Local Economic Recovery Funding,Recreation Trails Upgrade,Creation of new links within the Pomona section of the Noosa Hinterland fire and walking trail network. The project will support both recreational and tourism use.,Noosa Heads,Noosa Shire Council,805363,805363,70000,Economic,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
5,-38.42875506,143.9796901,Local Economic Recovery Funding,Community and Cultural Centre Upgrade,"Upgrade of community facilities (including the cinema) at the centre, for use as an evacuation point and community recovery hub.",Boonah (Vic.),Scenic Rim Regional Council,33750,33750,7500,Human/Social,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
6,-27.00125973,152.6632106,Local Economic Recovery Funding,Trail Development and Activation,"Stage one and two includes enhancement of fire trails within the Mount Glen Rock Recreation and Nature Reserve to support recreational and tourism use. The project will support local employment,.",Mount Archer (Somerset - Qld),Somerset Regional Council,317840,317840,645913,Economic,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
7,-36.1472077,147.7988826,Local Economic Recovery Funding,Tennis Facility Restoration,"Restoration and expansion of the Cudgewa Tennis Club facility to provide the community with space for recreation, community gatherings and events.",Cudgewa,Towong Shire Council,92500,92500,5000,Human/Social,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
8,-36.05958842,147.9128252,Local Economic Recovery Funding,The Tintaldra Avenue of Honour,"Re-establishment of a tree-lined, commerative avenue in the township of Tintaldra to enhance the tourism experience and expand the local visitor economy.",Tintaldra,Towong Shire Council,59000,59000,10700,Human/Social,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
9,-37.84069666,147.5160632,Local Economic Recovery Funding,Community Resilience and Development Program,"Stage one involves an upgrade of community facilities in 32 towns across East Gippsland, and includes public halls and recreation reserve buildings. Works will include ember proofing, electrical upgrades, satellite communication and WIFI upgrades.",Hillside (East Gippsland - Vic.),East Gippsland Shire Council,521978,521978,36120,Human/Social,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
10,-36.7512718,147.2252813,Local Economic Recovery Funding,Murals Mount Beauty,"Creation of three large murals in Mount Beauty, adding to the collection of artistic features across Alpine Shire. The project will engage the local community, including the Indigenous population.",Mount Beauty,Alpine Shire Council,20000,20000,,Human/Social,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
11,-36.90082373,147.0464388,Local Economic Recovery Funding,Harrietville East Ovens Pedestrian Bridge,"Construction of a pedestrian bridge joining Harrietville with the east branch of the Ovens River, to improve the local tracks/trails network.  The project will engage with the local community, including the Indigenous population.",Harrietville,Alpine Shire Council,60000,60000,,Human/Social,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
12,-30.92297887,153.0276417,Industry development,Macleay River Automated Oyster Grading Facility,"The facility will include the provision of an oyster processing equipment to grow the current production of Sydney Rock oysters, to secure current employment levels and to increase employment on the river.",Jerseyville,Kempsey,65500,65500,131797,Economic,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
13,-35.54501912,148.1466176,Industry development,Apple Thief Batlow Cider House Development,This project proposes a new cider manufacturing and distribution centre with farm gate sales.,Batlow,Snowy Valleys,1754500,1754500,3509000,Economic,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
14,-35.39459393,148.098129,Industry development,Wondalga Road Upgrade,"This project will repair the Wondalga Road junction, an important part of the logistics network linking the softwood plantations of the Snowy Valleys with the region's saw and pulp mills.",Wondalga,Snowy Valleys,240000,240000,235000,Infrastructure,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
15,-29.63680934,152.9300901,Industry development,Sustainable Manufacturing,The project will relocate workers to the area and invest in new technical equipment to enhance capability and capacity.,Junction Hill,Clarence Valley,5000000,5000000,10398000,Economic,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
16,-29.03506525,153.4261141,Industry development,Broadwater Oysters Development,"Implement new manufacturing processes to transform the aquaculture system into a 'flip-farm', with the aim of doubling production of Sydney Rock Oysters and generating local employment.",Broadwater (Richmond Valley - NSW),Far South Coast,150000,150000,489000,Economic,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
17,-33.86521,151.2126,Industry development,Fortifying the Future of the NSW Wine Industry,"Investment will support the recovery and resilience of the NSW wine industry through expanding resources, technical skills and education. ",Multiple Towns,Multiple LGAs,165650,165650,442038,Economic,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
18,-35.54502912,148.1466176,Industry development,Itinerant Worker Accommodation,Expansion of the Batlow Caravan Park to increase the available accommodation for itinerant workers employed across the local government area. ,Batlow,Snowy Valleys,1976286,1976286,176400,Infrastructure,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
19,-33.86421,151.2136,Industry development,Futureproofing Arc-en-Ciel Rainbow Trout,The project aims to create efficient hatching and growing infrastructure with monitoring and control systems and upgrading of processing plant. ,Multiple Towns,Multiple LGAs,971315,971315,2051550,Economic,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
20,-34.51226097,150.2216799,Industry development,Queen Bee Breeding Capability Development,"Establishment of a Queen Bee breeding capability to support rebuilding, restocking and future development of the NSW apiary industry.",Belanglo,Wingecarribee,195000,195000,392000,Economic,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
21,-33.44852264,150.5495984,Industry development,"Bilpin Fruit Bowl, Hot-House Strawberries",Upgrade of existing fire damaged infrastructure to a new energy efficient hot house. This aims to diversify the enterprise and create year-round production. ,Bilpin,Hawkesbury,615000,615000,470000,Economic,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
22,-35.70611701,150.1572844,Industry development,Oyster Wet Storage and Packing Shed Project,The project will modernise and scale up oyster production and develop higher value markets for oysters in the Clyde River and NSW.,Batemans Bay,Eurobodalla,112500,112500,225000,Economic,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
23,-37.25244529,149.9335322,Industry development,Wonboyn Resilience Project,"Supporting the oyster farmers of Wonboyn to adapt farming methods in response to changing environmental conditions, enabling sustainability and growth of the industry.",Wonboyn,Bega Valley,85202,85202,191281,Economic,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
24,-34.55032695,150.3949764,Industry development,Southern Highlands Produce Hub Feasibility Study,The study will determine the benefits of moving produce to national and international markets via Sydney and Canberra.,Moss Vale,Wingecarribee,25000,25000,25000,Economic,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
25,-30.958652,152.8073006,Industry development,The Beekeeper's Honey - Honey Packing Facility,"Installation of a modern, B-QUAL accredited honey packing facility. The resulting facility will also provide a new contract packing service to other NSW beekeepers.  ",Collombatti,Kempsey,158485,158485,360019,Economic,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
26,-35.70243667,147.9883481,Industry development,Project Tumbarumba Rising Star,"The grant will support Tumbarumba Vignerons Association Incorporated Project, Tumbarumba Rising Star by funding a 5-year industry development plan.",Courabyra,Snowy Valleys,120000,120000,622000,Economic,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
27,-35.04283224,148.1036667,Industry development,Gundagai Gold Honey,"The project will update and expand the processing and packaging capabilities of Gundagai Gold Honey, Beehive Beauty and Australian Healing Honeys.",Gundagai,Cootamundra-Gundagai,150250,150250,300500,Economic,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
28,-35.73246124,148.0550408,Industry development,MTV - More Than a Vision,"This project will support the growth of Mount Tumbarumba Vineyard through construction of a contemporary cellar door,  two boutique accommodation spaces, a commercial kitchen and landscaped area to be used for functions.",Tumbarumba,Snowy Valleys,209000,209000,528000,Economic,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
29,-37.02304064,149.8929189,Industry development,Pallet Collar Production Line Upgrade,The project will fund the installation of an upgraded new pallet collar production line. The new line will incorporate upgraded electronics for faster output and lower unit production costs.,Eden,Bega Valley,90250,90250,180500,Economic,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
30,-28.83995886,153.559147,Industry development,Hurford Wood Supply Recovery Project,"Replantation of native tree varieties to rehabilitate the devastated natural assets. Over three years, all sites will be cleaned, salvaged, prepped and re-established with seedlings.",Ballina,Kyogle,253125,253125,506250,Economic,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
31,-33.37902057,151.2772215,Industry development,Snives Hives Meadery,The project will establish a meadery to make and wholesale honey wine. The process of fermenting the honey is a value-adding process to raw honey. ,Somersby,Central Coast,97000,97000,194000,Economic,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
32,-35.31076502,148.1278361,Industry development,Manufacturing Partnership,The project involves the installation of an advanced wood fibre handling augmentation. This upgrade will lead to a material and transformational shift in the processing of plantation softwood resources.,Gadara,Snowy Valleys,5000000,5000000,20889000,Economic,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
33,-32.76208239,151.2809946,Industry development,Hunter Valley Wine & Tourism Association,"The project will create local jobs to ensure the industry remains viable in the longer term through improving wine quality perception, increase consumer demand, raise wine sales value and boost domestic tourism.",Pokolbin,Cessnock,292875,292875,679750,Economic,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
34,-31.25806046,152.7278719,Industry development,Hayden Timbers Sawmill Project,Installation of a new integrated system in Hayden Timbers hardwood sawmill. It will cater for a change in log supply and type as result of the impact of the 2019-20 bushfires.,Gum Scrub,Port Macquarie Hastings,227500,227500,455000,Economic,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
35,-33.86321,151.2146,Industry development,Marketing NSW Oysters,"The project provides resources for NSW Farmers to contribute to a national marketing campaign, which involves industry-wide marketing and promotional activities to promote the stockpiling of current oyster production.",Multiple Towns,Multiple LGAs,56705,56705,117000,Economic,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
36,-37.02304064,149.8929189,Industry development,Wood Pellet Production Line Expansion,"Installation of a raw material wood-fibre collection bunker. This includes a walking floor, biomass dryer and heat plant, raw material storage silo and a larger higher capacity wood pellet production plant and, automatic bagging line.",Eden,Bega Valley,525000,525000,1055000,Economic,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
37,-29.10125708,152.6179794,Industry development,Clarence Way Upgrade,Upgrading Clearnace Way from Keybarbin to Flagstone Creek to support the local agricultural and forestry industry operations through improving road access.,Keybarbin,Clarence Valley,1250000,1250000,2500000,Infrastructure,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
38,-29.06843607,152.948185,Industry development,Rappville Timber Processing Resilience Project,"The project aims to bolster the long-term viability of the Rappville sawmill, upgrade equipment and infrastructure to expand capability and provide ongoing employment in the industry.",Rappville,Richmond Valley,371045,371045,746278,Economic,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
39,-35.70243667,147.9883481,Industry development,Expansion of Existing Cellar Door,"The project will support increased demand through extending the cellar door and developing a dedicated conference and wedding venue. The cellar door currently has capacity for 46 visitors, the development will extend the capacity to 120 visitors.",Courabyra,Snowy Valleys,168750,168750,337625,Economic,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
40,-33.86221,151.2156,Industry development,De-risking the NSW Dairy Industry,The project aims to develop an industry-driven development and extensions program of work to accelerate the recovery of the fire-affected NSW Dairy Industry and improve farm business resilience.,Multiple Towns,Multiple LGAs,3000000,3000000,10012000,Economic,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
41,-33.44852264,150.5495984,Industry development,TNT Produce Shed and Equipment,The project will build a 500 square meter colour bond shed and purchase additional equipment to assist in dealing with the expected increase in the crop coming from the rebuilding of the orchard.,Bilpin,Hawkesbury,559350,559350,1118698,Economic,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
42,-33.86121,151.2166,Industry development,Future-Proofing the NSW Apiary Industry,This project will improve confidence and investment in the NSW Apiary Industry and increase the resilience and sustainability of the industry through building the capacity of the research community.,Multiple Towns,Multiple LGAs,971315,971315,2051550,Economic,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
43,-37.13761624,149.9557142,Industry development,SEFE Industry Development,The project will replace and upgrade the damaged Eden export chip facility. This requires increased capacity load and the project will provide the necessary infrastructure to upgrade the site power distribution network. ,Edrom,Bega Valley,472620,472620,945240,Economic,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
44,-33.86621,151.2176,Industry development,Professionalising the NSW Oyster Industry,"The project will develop a ‘responsible oyster farming program', a series of short training modules aligned with the industry code of practice to upskill existing farmers or those entering the industry",Multiple Towns,Multiple LGAs,554730,554730,1403200,Economic,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
45,-33.86721,151.2116,Industry development,Environmental Risk Management System,"This project will design individual estuary/harvest area management plans to mitigate future bushfire and environmental impacts on industry, decrease closure days and provide practical advice on risk mitigation strategies during future bushfire related poor water quality events.",Multiple Towns,Multiple LGAs,257200,257200,1640632,Economic,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
46,-35.54503912,148.1466276,Industry development,Ardrossan Orchards Nursery Development,"A nursery development that aims to strengthen the Batlow regions capability and competitive advantage as a growing region, fast track tree availability for Batlow's apple industry recovery and ensure tree quality at affordable prices. ",Batlow,Snowy Valleys,495500,495500,991000,Economic,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
47,-31.02583835,152.8604745,Industry development,Firewood Processing Mill,The purchase of two machines that will produce bulk firewood.  A Gibson Log docker that will block the log up to the required length and a firewood splitter to split the docked log. ,Frederickton,Kempsey,53750,53750,107500,Economic,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
48,-36.92952025,149.8776261,Industry development,Stirling Oysters Export Market Development,The project will support the development of the oyster export market from the Merimbula Lake aquaculture region. ,Pambula,Bega Valley,31000,31000,62000,Economic,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
49,-34.48470847,150.4258889,Industry development,Southern Highlands Food & Wine Festival,"The project is to grow the Southern Highlands Food & Wine Festival event which offers dynamic representation of our four industry sectors: beer, wine, spirits and, food.",Bowral,Wingecarribee,130000,130000,260000,Economic,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
50,-35.32118026,148.2333715,Industry development,Project Corner,"Modernisation of the Tumut mill, incorporating innovative technologies to increase production and reduce waste. When completed the project will support the recovery of the regions timber industry and provide new job opportunities.",Tumut,Snowy Valleys,5000000,5000000,21580000,Economic,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
51,-36.66662057,149.6522978,Industry development,Dairy Growth and Diversification,"Modernisation of production methods to diversify income streams and improve water-use efficiency at the site. For the region, the project will provide employment opportunities and help to strengthen a key industry and reduce the economic-impact of future natural disasters.",Morans Crossing,Bega Valley,335000,335000,935000,Economic,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
52,-35.61360927,147.9371285,Industry development,Tarcutta Creek Bridge Linkage Project,The project will replace the existing bridge on Tarcutta Creek and Baga Creek with a new structure and locate another crossing at the western end of the plantation. The project will support the recovery of the forestry industry in the region and support job growth and safety.,Taradale (NSW),Snowy Valleys,137526,137526,295388,Infrastructure,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
53,-34.46862887,150.3310055,Industry development,Growers & Producers Industry Development Project,"This project will assist growers and producers improve production and marketing in bushfire impacted regions across NSW. The project will deliver communications, workshops, mentoring, skills training and events designed to address knowledge gaps and strengthen market opportunities.",Berrima,Wingecarribee,40000,40000,80000,Economic,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
54,-35.54659579,148.089106,Industry development,Sector Development Grant Planting Program,The project will support apple production in this region through high-density production areas and making use of previously unproductive blocks. The project will create work opportunities in the region.,Kunama,Snowy Valleys,1141525,1141525,2283050,Economic,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
55,-35.83697741,147.9463119,Industry development,Tumbarumba Wines Escape,The project will deliver expanded tourism facilities through an enhanced cellar and function facilities. The project will provide jobs and diversify and growth the regions economic potential.,Mannus,Snowy Valleys,21750,21750,43500,Economic,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
56,-34.93099918,150.5635487,Industry development,Nowra Sawmill Green Timber Docking Line,"Installation of a second docking and packing line at the Nowra sawmill, specifically designed to produce short length green timber products. Diversifying the production will increase market opportunities and provide employment for the region. ",Nowra Hill,Shoalhaven,68904,68904,137809,Economic,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
57,-28.63954006,153.0153474,Industry development,Kyogle Small Scale Bio-energy Solution ,"A small scale bio-energy reactor at the Kyogle mill to improve energy efficiency, reduce costs and create an alternative income source by selling energy to the grid during non-operational hours.",Kyogle,Kyogle,763461,763461,1526922,Economic,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
58,-36.44604099,149.8098752,Industry development,Modulated Expansion Model,"Development of new manufacturing processes to extend dairy lines, expand the product range and double capacity. This will increase employment, training opportunities and benefit to the community through providing a model for boutique dairy processing facilities.",Verona,Bega Valley,750000,750000,1650000,Economic,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
59,-32.27163003,150.6555421,Industry development,Yarraman Wybong Vineyard,"The project will deliver increased and diversified production at the site, providing facilities for workers and increasing the capacity to market and export grape and olive produce. The project is supporting economic diversification and employment opportunities in the region.",Wybong,Muswellbrook,228000,228000,456000,Economic,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
60,-36.88038382,149.9097765,Industry development,Tourism Diversification and Product Growth,The project will support diversification of production and income streams for this site and develop tourism opportunities.  ,Berrambool,Bega Valley,157000,157000,314000,Economic,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
61,-30.50313191,151.6677943,Community infrastructure,Dumaresq Dam Ecotourism Development Project,"The project will upgrade the accommodation, recreation and commercial infrastructure at the Dumaresq Dam. The project delivery and its outcomes will support the tourism industry and provide employment opportunities.",Armidale,Armidale,1944566,1944566,,Human/Social,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
62,-34.74794703,149.7277584,Community infrastructure,Wollondilly River Walking Tack Extension,The project will provide an extension to the four-kilometre walking track alongside Goulburn's historic Wollondilly River.,Goulburn,Goulburn-Mulwaree,1000000,1000000,3000000,Human/Social,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
63,-28.84452106,153.0284673,Community infrastructure,Casino Racecourse and Showground Upgrade Project,"The project will give the Casino Racecourse and Showground an overhaul, increasing venue capacity and allowing it to host major national and international equestrian competitions and other high profile events. ",Casino,Richmond Valley,4100000,4100000,,Economic,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
64,-34.93099918,150.5635487,Community infrastructure,Improving Resilience of Shoalhaven Power and Communications,"The project will improve energy and telecommunication security, developing micro-grids in place of existing and fire-damaged power infrastructure and, delivering back-up connectivity through satellite digital communication to improve resilience to future natural disasters in the region.",Nowra Hill,Shoalhaven,1000000,1000000,,Infrastructure,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
65,-31.0742362,152.7620404,Community infrastructure,Macleay Valley Skydiving Adventure Park,"The project will deliver indoor rock-climbing facilities, training facilities, a canopy piloting hanger, swoop pond, accommodation and amenities. The project will enhance the region's tourism offerings and support the long-term recovery of the region.",Aldavilla,Kempsey,5641500,5641500,668600,Economic,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
66,-34.32818471,150.1443961,Community infrastructure,Wombeyan Caves Road,"The project will upgrade the severely flood and fire damaged Wombeyan Caves Road at Bullio, allowing tourist and local traffic to more easily access the regions landmarks and attractions. ",Bullio,Wingecarribee,4000000,4000000,,Infrastructure,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
67,-29.06843607,152.948185,Community infrastructure,Rappville Packaged Sewage Treatment  Plant,"The project will provide the Rappville community with a packaged sewage treatment plant, replacing the current individual systems for each property. The project is intended to support the sustainable growth and liveability of the town.",Rappville,Richmond Valley,1500000,1500000,,Infrastructure,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
68,-29.43322601,153.3406731,Community infrastructure,The Shores Drive Roundabout,"The project will deliver a new roundabout to ease traffic congestion, improve liveability for locals, and support tourism and local economic conditions in the region.",Yamba (NSW),Clarence Valley,1390000,1390000,220000,Infrastructure,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
69,-33.48279582,150.1570465,Community infrastructure,Farmers Creek,The project will develop a shared-pathway and improvements along the Farmers Creek green belt. It will improve accessibility and develop green spaces for the Lithgow community.,Lithgow,Lithgow,500000,500000,,Human/Social,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
70,-31.05053894,151.7331718,Community infrastructure,Livestock Selling Centres,Upgrades to the Armidale and the Guyra livestock saleyards through replacing and extending key infrastructure and amenities at each location. The project will support the recovery of the key agricultural sector in the region.,Walcha,Walcha,2750000,2750000,4500000,Infrastructure,The project icon is pinned to the map using the latitude and longitude columns. These coordinates are the centroid of the Australian Bureau of Statistics State Suburb (SSC) where the project is based.
